"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,7e+07,0,7e+07,0,0,0,0,0,5e+11,0
0,69999800,0,69978000,199995,0,0,0,2000,499999799913,0.000118918651003332
0,69999900,0,69978000,199994,0,0,0,2000,499999799815,0.000126078767588578
0,69999900,0,69978000,199994,0,0,0,2000,499999799715,0.000132594141836179
0,69999900,0,69977000,199993,0,0,0,3000,499999799617,0.000138087064324099
0,69999800,0,69977000,199992,0,0,0,3000,499999799519,0.000142469479238924
0,69999800,0,69977000,199992,0,0,0,3000,499999799419,0.000147074684585339
0,69999800,0,69977000,199992,0,0,0,3000,499999799319,0.00015091530785421
0,69999800,0,69976000,199992,0,0,0,4000,499999799220,0.00015439121444098
0,69999800,0,69976000,199991,0,0,0,4000,499999799121,0.000157814882254138
0,69999800,0,69976000,199990,0,0,0,4000,499999799022,0.000162365670971643
0,69998800,0,69976000,199990,0,1000,0,4000,499999798923,0.000182525478725825
0,69998800,0,69975000,199990,0,1000,0,5000,499999798824,0.000197751560454228
0,69998800,0,69965000,199990,0,1000,0,5000,499999798725,0.000210883365624505
0,69998800,0,69965000,199980,0,1000,0,5000,499999798626,0.000225351208369958
0,69998800,0,69965000,199980,0,1000,0,5000,499999788527,0.000241438761279764
0,69998800,0,69965000,199980,0,1000,0,5000,499999788427,0.000255132325405625
0,69998800,0,69965000,199980,0,1000,0,5000,499999788327,0.000269585491932634
0,69997800,0,69965000,199980,0,2000,0,5000,499999788228,0.000279160952183793
0,69997800,0,69965000,199980,0,2000,0,5000,499999788128,0.000287901793445824
0,69997800,0,69965000,199980,0,2000,0,5000,499999788028,0.000296221135389147
0,69975801,9993,69909009,599750,0,14001,4,10998,499999278018,0.00149695187293719
0,69974003,9993,69893012,1399480,0,16002,7,16995,499998327999,0.00215596119818259
0,69962804,19988,69869019,1899130,0,17007,8,20992,499997777973,0.00257991987568086
0,69952506,29982,69854023,2198790,0,17009,11,25992,499997347949,0.00295637631672444
0,69950607,29977,69841028,2398370,0,19015,12,28992,499997037930,0.00322944656872862
0,69949609,29971,69829034,2497890,0,20014,13,30991,499996797909,0.00352999641021362
0,69938511,39968,69818040,2697440,0,21013,14,31988,499996507883,0.00378585606510068
