"TnB","TcmB","TemB","TeffB","CD19.B","TnP","TcmP","TemP","TeffP","CD19.P","t"
0,7e+07,7e+07,0,0,0,0,0,0,5e+11,0
0,69979100,70019700,0,299972,0,1000,0,0,499999699944,0.000523344488107089
0,69979100,70019500,0,299968,0,1000,0,0,499999699850,0.000536733054251554
0,69979100,70019400,0,299967,0,1000,0,0,499999699752,0.000549211011040997
0,69979100,70018400,0,299964,0,1000,1000,0,499999699656,0.000556127503606149
0,69979100,70018400,0,299963,0,1000,1000,0,499999699557,0.000563061542674067
0,69979100,70008400,10000,299963,0,1000,1000,0,499999699458,0.000569750567028642
0,69979100,70008400,10000,299962,0,1000,1000,0,499999699359,0.000575622846317735
0,69979100,70008400,10000,299961,0,1000,1000,0,499999699260,0.000582657605813522
0,69969100,70018500,10000,299959,0,1000,1000,0,499999699164,0.000588389667402388
0,69969000,70018500,10000,299958,0,1000,1000,0,499999699066,0.000594205794357986
0,69954602,70002200,29993,599658,0,4998,7000,1,500002375065,0.00128180153812238
0,69942202,69998700,39981,799498,0,7001,10001,6,500002139055,0.00169835807048794
0,69940202,69975900,59969,899378,0,9001,13000,9,500001995038,0.00200609785762802
0,69938902,69974000,59962,1099268,0,10001,15006,10,500002751023,0.00228671814462094
0,69938002,69952001,79952,1099098,0,11003,17006,12,500002705008,0.00248953321623473
0,69937002,69950901,79947,1498958,0,12006,18006,15,500002258993,0.00270402597031735
0,69934802,69939901,89938,1698768,0,14008,19009,19,500003021977,0.00291247746208044
0,69922903,69948901,89925,1698648,0,16009,20010,20,500002984952,0.00305528227228352
0,69920505,69936801,99919,1698488,0,18006,22013,25,500002946929,0.00322934550816265
0,69920705,69923401,109906,1798378,0,18008,25012,27,500002810905,0.00336340141934166
0,69901306,69903907,129886,2497278,0,27008,34026,36,500003710705,0.00425832184972912
0,69872114,69919812,129846,2495876,0,36001,38050,58,500003210705,0.00508759174459484
0,69857919,69924016,129786,3195076,0,40025,44052,93,500004110505,0.00586313832318822
0,69843421,69918821,139746,3393774,0,45052,49059,113,500003609805,0.00664558358833451
0,69842525,69903928,149676,3792073,0,46064,54099,131,500005809205,0.00725693264668886
0,69820331,69918335,149626,4190670,0,48084,60147,150,500005408805,0.00788324129443838
0,69809435,69915045,159566,4389168,0,49093,63149,175,500006707805,0.00844815954458777
0,69804343,69901851,169506,4587963,0,54085,66132,216,500007807205,0.00912638025041339
0,69799149,69886653,179436,4786863,0,59107,71157,243,500007405705,0.00965230247373896
0,69791954,69864661,199396,4984660,0,66117,73162,265,500007305305,0.0101522764351121
0,69768354,69835571,229246,5581657,0,80148,82214,335,500005803305,0.0111572946224385
0,69757364,69816281,239106,5775651,0,91199,91255,405,500006501305,0.0121647627944583
0,69718574,69810392,268976,5873644,0,99240,97336,445,500007496305,0.0133342266585146
0,69712674,69744112,328846,6068637,0,105310,104396,495,500007195305,0.0143334811149394
0,69687584,69725222,358827,6663629,0,110350,112447,544,500006293305,0.0150556015847734
0,69682184,69700242,378297,7258622,0,115400,117479,624,500004192305,0.0159286623453787
0,69679795,69651243,417947,7558616,0,118430,126499,724,500002487305,0.0166644329683365
0,69652015,69655253,427697,8556611,0,125452,132489,834,499999984305,0.0174692472464791
0,69650345,69625573,447477,9049596,0,127473,141530,884,499999882305,0.0182688245759491
0,69634975,69621193,456967,9045579,0,132523,145582,904,499998877305,0.0190837690082075
0,69609705,69602403,486697,9842549,0,137543,153632,1024,499998071305,0.0199106499487167
0,69584515,69605623,496589,10137529,0,142614,160604,1062,499998068305,0.0206199440727375
0,69548945,69593333,536139,10734519,0,147654,163605,1142,499996260305,0.021457087922803
0,69532775,69587563,545989,11431499,0,153635,169549,1272,499994949305,0.0223415289444093
0,69514805,69572503,565729,11524469,0,161646,174689,1382,499993845305,0.0230100460566962
0,69478625,69582543,575449,11820439,0,167658,184750,1482,499992136305,0.0236385601229111
0,69474635,69558863,595159,12215419,0,171719,188650,1662,499990829305,0.0243092143951868
0,69438565,69505583,674979,12411409,0,177759,191572,1812,499989124305,0.0250967051055278
0,69412595,69511283,684839,13006359,0,183831,195712,1922,499988017305,0.0257012488989186
0,69398605,69503203,694589,13098319,0,187871,203683,2012,499987612305,0.0263287437049095
0,69366535,69486163,724409,13793259,0,200012,210914,2132,499982912305,0.0274061845459591
0,69359165,69417613,784289,13988219,0,207133,219977,2292,499982682305,0.0283631208102055
0,69340315,69378433,823609,14284129,0,216025,229028,2462,499981372305,0.0293417717028807
0,69328715,69357363,843199,14873079,0,217177,240291,2632,499978752305,0.0303683830003605
0,69316545,69311083,882909,15468989,0,229239,245433,2772,499980132305,0.0312135212416974
0,69278295,69262823,952549,15965939,0,237211,253383,2922,499982632305,0.0320812584671202
0,69262226,69245693,971960,16460889,0,243242,260383,3081,499982112305,0.0330897316971073
0,69254476,69208513,1001581,17150819,0,251124,267354,3240,499980392305,0.0339594604902065
0,69246446,69173653,1031091,17441719,0,259116,271284,3400,499979072305,0.0349363831280423
0,69230286,69155473,1050541,17836629,0,265329,279437,3530,499975652305,0.0356561331701968
0,69202706,69136513,1079741,18128589,0,272459,288299,3680,499974342305,0.0365419633628022
0,69196168,69091453,1109143,18416529,0,279640,303660,3838,499972042305,0.0374375076644407
0,69170308,69082023,1128445,19007499,0,285663,312974,4096,499969412305,0.0380772908551146
0,69157649,69075533,1137846,19399399,0,287755,319135,4395,499966982305,0.0390039134557087
0,69137689,69068224,1147647,19893319,0,297799,326168,4594,499964452305,0.039831586920546
0,69126649,69040504,1167447,20188229,0,309099,334010,4714,499962122305,0.0405959675368484
0,69117969,69015955,1186447,20675149,0,318030,339003,5324,499958592305,0.0414496504678537
0,69103679,69000195,1205747,21465079,0,321952,345024,5434,499953762305,0.0422123695977891
0,69094449,68982825,1215348,21954989,0,330954,351905,5653,499948252305,0.0429037821665099
0,69081299,68959385,1244649,22342919,0,334017,354948,5942,499944822305,0.043615126799774
